CustomerID,Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,CityTier_1,CityTier_2,CityTier_3,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Churn_Probability,Churn_Prediction,Satisfaction_Segment,OrderCount_Segment,Days_Segment,Tenure_Segment,OrderHike_Segment,Discount_Percentage
52893,15.741935483870968,0.36666666666666664,0.6666666666666667,0.6000000000000001,0.5,0.1,1,18.0,0.1875,3.0,1.4838709677419355,0.5015384615384615,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.31,0,Medium,Medium,Recent,Very Loyal,Moderate Increase,10
52349,0.0,0.033333333333333326,0.3333333333333333,0.4000000000000001,0.0,0.2,0,11.0,0.0,1.0,2.967741935483871,0.40615384615384614,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.37,0,Low,Low,Recent,New,Low Increase,20
50024,0.0,0.6666666666666666,0.6666666666666667,0.8,0.5,0.15000000000000002,1,11.0,0.0625,2.0,2.967741935483871,0.4492307692307692,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0.45,0,Medium,Medium,Recent,New,Low Increase,10
55218,1.9677419354838726,0.4666666666666667,0.6666666666666667,0.6000000000000001,0.75,0.30000000000000004,0,12.0,0.125,2.0,1.4838709677419355,0.563076923076923,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.35,0,High,Medium,Recent,Regular,Low Increase,10
54940,29.516129032258064,0.16666666666666669,0.6666666666666667,0.6000000000000001,0.5,0.5,1,13.0,0.0625,3.0,11.870967741935486,0.46153846153846156,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.34,0,Medium,Medium,Inactive,Very Loyal,Low Increase,10
53888,1.9677419354838726,0.3333333333333333,0.6666666666666667,0.6000000000000001,1.0,0.1,0,12.0,0.0625,2.0,4.451612903225807,0.4676923076923077,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.32,0,Very High,Medium,Moderate,Regular,Low Increase,10
50725,11.806451612903226,0.3,0.3333333333333333,0.8,0.5,0.4,0,13.0,0.0625,1.0,4.451612903225807,0.4707692307692308,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.35,0,Medium,Low,Moderate,Very Loyal,Low Increase,20
50009,25.580645161290324,0.1,0.6666666666666667,0.6000000000000001,0.5,0.05,1,14.0,0.0,1.0,2.967741935483871,0.39076923076923076,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0.35,0,Medium,Low,Recent,Very Loyal,Very High Increase,20
54723,1.9677419354838726,0.033333333333333326,1.0,0.6000000000000001,0.0,0.1,1,14.0,0.4375,8.0,13.35483870967742,0.4676923076923077,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.33,0,Low,Very High,Inactive,Regular,Very High Increase,10
51122,17.70967741935484,0.26666666666666666,0.6666666666666667,0.6000000000000001,0.0,0.30000000000000004,0,11.0,0.0625,1.0,2.967741935483871,0.37538461538461537,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0.43,0,Low,Low,Recent,Very Loyal,Low Increase,15
54752,1.9677419354838726,0.5666666666666667,1.0,0.6000000000000001,1.0,0.30000000000000004,0,16.0,0.125,2.0,4.451612903225807,0.5476923076923077,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.32,0,Very High,Medium,Moderate,Regular,Moderate Increase,10
54950,15.741935483870968,0.033333333333333326,1.0,0.8,1.0,0.5,0,15.0,0.1875,4.0,4.451612903225807,0.7076923076923076,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.42,0,Very High,High,Moderate,Very Loyal,Very High Increase,10
54708,11.806451612903226,0.6666666666666666,0.6666666666666667,0.2,0.5,0.35,1,13.0,0.0625,3.0,4.451612903225807,0.4707692307692308,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.32,0,Medium,Medium,Moderate,Very Loyal,Low Increase,10
52657,17.70967741935484,0.4666666666666667,0.3333333333333333,0.4000000000000001,0.5,0.05,0,16.0,0.0625,1.0,0.0,0.3538461538461538,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.4,0,Medium,Low,Recent,Very Loyal,Moderate Increase,20
52174,17.70967741935484,0.26666666666666666,0.6666666666666667,0.4000000000000001,0.5,0.05,0,12.0,0.0625,1.0,0.0,0.36615384615384616,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.41,0,Medium,Low,Recent,Very Loyal,Low Increase,20
51558,0.0,0.6666666666666666,0.3333333333333333,0.4000000000000001,0.5,0.05,0,14.0,0.0625,1.0,10.38709677419355,0.6153846153846154,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.32,0,Medium,Low,Inactive,New,Very High Increase,25
50897,0.0,0.3,0.6666666666666667,0.6000000000000001,1.0,0.15000000000000002,0,12.0,0.0625,2.0,2.967741935483871,0.4430769230769231,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0.4,0,Very High,Medium,Recent,New,Low Increase,10
52827,23.612903225806456,0.033333333333333326,1.0,0.8,0.5,0.5,1,14.0,0.0625,2.0,1.4838709677419355,0.5507692307692308,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0.43,0,Medium,Medium,Recent,Very Loyal,Very High Increase,10
52108,17.70967741935484,0.06666666666666665,0.3333333333333333,0.4000000000000001,1.0,0.30000000000000004,1,14.0,0.0,1.0,2.967741935483871,0.36923076923076925,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.45,0,Very High,Low,Recent,Very Loyal,Very High Increase,15
50738,17.70967741935484,0.5666666666666667,0.6666666666666667,0.8,0.5,0.1,0,13.0,0.0625,1.0,0.0,0.37846153846153846,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.39,0,Medium,Low,Recent,Very Loyal,Low Increase,20
51666,0.0,0.06666666666666665,0.6666666666666667,0.4000000000000001,0.5,0.05,1,11.0,0.0,1.0,5.935483870967743,0.4461538461538461,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.35,0,Medium,Low,Moderate,New,Low Increase,20
54375,1.9677419354838726,0.13333333333333336,0.6666666666666667,0.6000000000000001,1.0,0.30000000000000004,1,12.0,0.0625,2.0,7.419354838709679,0.4676923076923077,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.44,0,Very High,Medium,Inactive,Regular,Low Increase,10
